"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","podstawowe i niższe","35-44 lata","Zachodniopomorskie","KOSZALIŃSKI",1.9,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Zachodniopomorskie","STARGARDZKI",0,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Dolnośląskie","JELENIOGÓRSKI",4.193278953,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Dolnośląskie","WROCŁAWSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Dolnośląskie","WAŁBRZYSKI",4.469370006,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Dolnośląskie","M.WROCŁAW",0,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2.6114586,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",7.748436502,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubelskie","BIALSKI",2.11065934275,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubelskie","PUŁAWSKI",2.971619083875,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubelskie","LUBELSKI",4.65,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",3.845329671375,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubuskie","GORZOWSKI",4.62456828975,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Lubuskie","ZIELONOGÓRSKI",7.820922267,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Łódzkie","ŁÓDZKI",1.155837259125,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Łódzkie","PIOTRKOWSKI",4.875837259125,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Łódzkie","SIERADZKI",2.31167451825,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Łódzkie","SKIERNIEWICKI",2.9402217375,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Łódzkie","M. ŁÓDŹ",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Małopolskie","NOWOSĄDECKI",7.6652276325,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Małopolskie","OŚWIĘCIMSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Małopolskie","TARNOWSKI",3.116344846875,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Małopolskie","M. KRAKÓW",1.1741540625,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",2.79,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",6.697444755,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",3.72,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Mazowieckie","RADOMSKI",0,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Mazowieckie","M.WARSZAWA",3.757293,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Opolskie","NYSKI",4.189661625,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Opolskie","OPOLSKI",3.30186118875,"2000"
